WaDEBenUse,UniqueCount,len_WBU
"Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply",3,6
"Agriculture Irrigation,Domestic,In-stream Flow,Recreation",3,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Other,Recreation,Reservoir Storage,Unspecified",3,8
"Agriculture Irrigation,Aquaculture,Fire,Livestock,Other,Reservoir Storage",3,6
"Aquaculture,Commercial/Industrial,Other,Public Supply,Recreation,Unspecified",3,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Hydroelectric,Other,Public Supply,Recreation,Unspecified",3,9
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Other,Public Supply,Recreation,Unspecified",3,9
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Public Supply,Recreation",3,7
"Commercial/Industrial,Domestic,Other,Reservoir Storage",3,4
"Aquaculture,Commercial/Industrial,Domestic,Other,Recreation,Unspecified",3,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",3,12
"Aquaculture,In-stream Flow,Livestock,Other,Recreation",3,5
"Agriculture Irrigation,Domestic,Fire,Livestock,Other,Public Supply",3,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply",3,8
"Aquaculture,Commercial/Industrial,Fire,Livestock,Other,Recreation,Unspecified",3,7
"Agriculture Irrigation,Aquaculture,Domestic,Hydroelectric,Other,Recreation",3,6
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",3,10
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply,Recreation,Reservoir Storage,Unspecified",3,10
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Thermoelectric Cooling",3,5
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Public Supply,Recreation",3,8
"Agriculture Irrigation,Aquifer Recharge,Other,Public Supply,Unspecified",3,5
"Agriculture Irrigation,Aquifer Recharge,In-stream Flow,Unspecified",3,4
"Agriculture Irrigation,Domestic,Livestock,Other,Reservoir Storage,Unspecified",3,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Livestock,Recreation",3,6
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Hydroelectric,Unspecified",3,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Other",3,7
"Agriculture Irrigation,Domestic,Hydroelectric,Livestock,Unspecified",3,5
"Aquaculture,Public Supply",3,2
"In-stream Flow,Recreation,Unspecified",3,3
"Hydroelectric,Other",3,2
"Aquaculture,Commercial/Industrial,Domestic,Fire,Public Supply",3,5
"Hydroelectric,Unspecified",3,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply",3,7
"Agriculture Irrigation,In-stream Flow,Municipal Irrigation,Other,Recreation",3,5
"Agriculture Irrigation,Public Supply,Snow,Unspecified",3,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Other,Recreation",3,9
"Commercial/Industrial,Reservoir Storage",3,2
"Agriculture Irrigation,Aquaculture,Hydroelectric,Other,Recreation",3,5
"Agriculture Irrigation,Aquifer Recharge,Fire,Livestock,Unspecified",2,5
"Agriculture Irrigation,Commercial/Industrial,Fire,Other,Unspecified",2,5
"Agriculture Irrigation,Domestic,Fire,Livestock,Reservoir Storage,Unspecified",2,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,In-stream Flow,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",2,11
"Aquifer Recharge,Commercial/Industrial,Livestock,Public Supply",2,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Reservoir Storage,Unspecified",2,8
"Agriculture Irrigation,Domestic,Mining,Municipal Irrigation",2,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Livestock,Public Supply,Recreation,Unspecified",2,8
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,In-stream Flow,Other,Recreation,Reservoir Storage,Unspecified",2,8
"Commercial/Industrial,Fire,Public Supply,Unspecified",2,4
"Aquaculture,Commercial/Industrial,Fire,Other,Recreation",2,5
"Agriculture Irrigation,Fire,In-stream Flow,Livestock,Recreation",2,5
"Agriculture Irrigation,Domestic,Municipal Irrigation,Recreation",2,4
"Agriculture Irrigation,Livestock,Mining,Recreation",2,4
"Aquifer Recharge,Domestic,Unspecified",2,3
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Other",2,4
"Agriculture Irrigation,Domestic,In-stream Flow,Livestock,Recreation",2,5
"Agriculture Irrigation,Domestic,Mining,Unspecified",2,4
"Fire,Public Supply,Recreation,Reservoir Storage,Unspecified",2,5
"Agriculture Irrigation,Domestic,Livestock,Other,Recreation,Unspecified",2,6
"Commercial/Industrial,Fire,Public Supply,Recreation,Reservoir Storage,Unspecified",2,6
"Domestic,Hydroelectric,Other,Public Supply,Unspecified",2,5
"Livestock,Recreation,Reservoir Storage",2,3
"Agriculture Irrigation,In-stream Flow,Recreation,Reservoir Storage",2,4
"Agriculture Irrigation,Fire,In-stream Flow,Livestock",2,4
"Agriculture Irrigation,Aquaculture,Livestock,Municipal Irrigation",2,4
"Aquaculture,Domestic,Other,Recreation,Unspecified",2,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Reservoir Storage,Snow,Unspecified",2,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Snow,Unspecified",2,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Livestock",2,5
"Aquaculture,Commercial/Industrial,Livestock,Other,Reservoir Storage,Unspecified",2,6
"Agriculture Irrigation,Aquaculture,In-stream Flow",2,3
"Agriculture Irrigation,Municipal Irrigation,Reservoir Storage",2,3
"Aquifer Recharge,Livestock,Unspecified",2,3
"Agriculture Irrigation,Domestic,Livestock,Other,Reservoir Storage",2,5
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Other,Reservoir Storage,Unspecified",2,7
"Agriculture Irrigation,Commercial/Industrial,Fire,Recreation",2,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,In-stream Flow,Public Supply",2,5
"Agriculture Irrigation,Domestic,Hydroelectric,Livestock,Other,Unspecified",2,6
"Aquaculture,Fire,Hydroelectric,Livestock,Other",2,5
"Municipal Irrigation,Other,Recreation,Reservoir Storage",2,4
"Commercial/Industrial,Public Supply,Recreation,Reservoir Storage,Unspecified",2,5
"Fire,Reservoir Storage",2,2
"Agriculture Irrigation,In-stream Flow,Livestock,Municipal Irrigation,Other",2,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,In-stream Flow,Livestock,Public Supply,Recreation",2,9
"Agriculture Irrigation,Domestic,Fire,Reservoir Storage",2,4
"Agriculture Irrigation,Fire,Hydroelectric,Livestock",2,4
"Domestic,Livestock,Mining,Municipal Irrigation",2,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Recreation,Reservoir Storage,Thermoelectric Cooling",2,8
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Other,Unspecified",2,6
"Agriculture Irrigation,Commercial/Industrial,Fire,Livestock,Other,Reservoir Storage",2,6
"Agriculture Irrigation,Domestic,Livestock,Mining,Municipal Irrigation",2,5
"Agriculture Irrigation,Domestic,Fire,Livestock,Thermoelectric Cooling",2,5
"Aquaculture,Commercial/Industrial,Fire,Livestock,Other,Recreation,Reservoir Storage",2,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation,Thermoelectric Cooling",2,9
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Recreation,Thermoelectric Cooling",2,6
"Agriculture Irrigation,Domestic,Fire,Livestock,Municipal Irrigation,Other",2,6
"Aquaculture,Recreation,Thermoelectric Cooling",2,3
"Commercial/Industrial,Municipal Irrigation,Other,Recreation",2,4
"Agriculture Irrigation,Fire,In-stream Flow,Livestock,Other,Recreation",2,6
"Fire,Thermoelectric Cooling",2,2
"Commercial/Industrial,Livestock,Recreation",2,3
"Agriculture Irrigation,Domestic,Livestock,Mining,Other,Public Supply,Recreation,Unspecified",2,8
"Aquaculture,Fire,Other,Reservoir Storage",2,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Thermoelectric Cooling",2,5
"Commercial/Industrial,Domestic,Fire,Livestock,Public Supply,Unspecified",2,6
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,In-stream Flow,Reservoir Storage,Unspecified",2,7
"Agriculture Irrigation,Commercial/Industrial,Fire,Recreation,Snow",2,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Recreation,Snow,Unspecified",2,6
"Commercial/Industrial,Domestic,Mining,Other",2,4
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Reservoir Storage",2,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Reservoir Storage,Snow",2,6
"Agriculture Irrigation,Aquaculture,Municipal Irrigation,Recreation",2,4
"Domestic,Municipal Irrigation,Other,Recreation",2,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Other,Public Supply",2,6
"Domestic,Livestock,Mining,Recreation",2,4
"Agriculture Irrigation,Commercial/Industrial,Livestock,Municipal Irrigation",2,4
"Agriculture Irrigation,Commercial/Industrial,Other,Thermoelectric Cooling",2,4
"Domestic,Livestock,Municipal Irrigation,Recreation",2,4
"Agriculture Irrigation,Aquifer Recharge,In-stream Flow,Public Supply,Unspecified",2,5
"Agriculture Irrigation,Fire,In-stream Flow,Recreation",2,4
"Commercial/Industrial,Domestic,Livestock,Mining",2,4
"Aquaculture,Fire,Recreation,Reservoir Storage,Unspecified",2,5
"Agriculture Irrigation,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage",2,7
"Aquaculture,Hydroelectric,Other,Unspecified",2,4
"Agriculture Irrigation,Domestic,Municipal Irrigation,Other,Recreation",2,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Hydroelectric,Livestock,Recreation,Unspecified",2,8
"Commercial/Industrial,Livestock,Mining",2,3
"Domestic,Fire,In-stream Flow,Livestock",2,4
"Agriculture Irrigation,Domestic,In-stream Flow,Municipal Irrigation",2,4
"Domestic,Mining,Other,Recreation",2,4
"Fire,Thermoelectric Cooling,Unspecified",2,3
"Domestic,In-stream Flow,Other",2,3
"Commercial/Industrial,Livestock,Public Supply,Unspecified",2,4
"Commercial/Industrial,Domestic,Livestock,Other,Recreation",2,5
"Agriculture Irrigation,Domestic,Livestock,Public Supply,Recreation",2,5
"Agriculture Irrigation,Aquaculture,Domestic,Hydroelectric,Livestock,Other,Public Supply,Recreation,Reservoir Storage",2,9
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Public Supply,Recreation,Reservoir Storage,Unspecified",2,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Other,Recreation,Reservoir Storage",2,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Recreation",2,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Livestock",2,6
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Reservoir Storage",2,9
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Public Supply,Unspecified",2,8
"Agriculture Irrigation,Commercial/Industrial,Fire,Snow",2,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Mining,Other,Recreation,Reservoir Storage",2,7
"Agriculture Irrigation,Hydroelectric,Recreation",2,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Mining,Reservoir Storage",2,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Mining,Other",2,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Public Supply,Recreation,Reservoir Storage,Snow",2,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Snow",2,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Other,Public Supply,Recreation",2,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply,Recreation,Snow,Unspecified",2,9
"Agriculture Irrigation,Domestic,Livestock,Recreation,Unspecified",2,5
"Domestic,Fire,Other,Unspecified",2,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Public Supply,Recreation,Snow",2,7
"Agriculture Irrigation,Aquifer Recharge,Domestic,Livestock",2,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Unspecified",2,7
"Fire,Recreation,Reservoir Storage,Unspecified",2,4
"Livestock,Municipal Irrigation,Unspecified",2,3
"Commercial/Industrial,Domestic,Other,Public Supply,Unspecified",2,5
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Public Supply,Reservoir Storage,Unspecified",2,9
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Public Supply,Recreation,Unspecified",2,10
"Other,Recreation,Thermoelectric Cooling",2,3
"Fire,Livestock,Other,Reservoir Storage,Unspecified",2,5
"Agriculture Irrigation,Reservoir Storage,Snow",2,3
"Agriculture Irrigation,In-stream Flow,Livestock,Unspecified",2,4
"Aquaculture,Domestic,Fire,Hydroelectric",2,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Public Supply,Recreation,Reservoir Storage,Unspecified",2,7
"Agriculture Irrigation,In-stream Flow,Livestock,Recreation,Unspecified",2,5
"Fire,In-stream Flow,Recreation,Reservoir Storage,Unspecified",2,5
"Agriculture Irrigation,Aquifer Recharge,Domestic,Public Supply,Unspecified",2,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Snow",2,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Reservoir Storage",2,7
"Fire,In-stream Flow,Recreation,Unspecified",2,4
"Agriculture Irrigation,Domestic,Public Supply,Reservoir Storage,Unspecified",2,5
"Agriculture Irrigation,Commercial/Industrial,Hydroelectric,Other,Reservoir Storage",2,5
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation,Reservoir Storage,Unspecified",2,9
"Agriculture Irrigation,Commercial/Industrial,Domestic,Mining,Other,Public Supply,Recreation",2,7
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",2,13
"Agriculture Irrigation,Aquaculture,Domestic,Hydroelectric,Livestock",2,5
"Aquaculture,Domestic,Other,Public Supply,Recreation",2,5
"Agriculture Irrigation,Public Supply,Thermoelectric Cooling",2,3
"Commercial/Industrial,Domestic,Public Supply,Snow",2,4
"Agriculture Irrigation,Aquaculture,Fire,Reservoir Storage",2,4
"Commercial/Industrial,Domestic,Fire,Recreation",2,4
"Agriculture Irrigation,Livestock,Other,Public Supply,Unspecified",2,5
"Aquifer Recharge,Commercial/Industrial,Domestic",2,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric",2,5
"Agriculture Irrigation,Domestic,Fire,Other,Recreation",2,5
"Aquaculture,Commercial/Industrial,Domestic,Other,Recreation",2,5
"Commercial/Industrial,Domestic,Fire,Thermoelectric Cooling",2,4
"Agriculture Irrigation,Public Supply,Reservoir Storage",2,3
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Other,Public Supply,Recreation,Reservoir Storage",2,8
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation,Snow",2,9
"Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation",2,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Hydroelectric,Livestock,Public Supply,Recreation",2,9
"Fire,In-stream Flow,Other,Recreation",2,4
"Snow,Unspecified",2,2
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Other,Recreation,Reservoir Storage",2,7
"Agriculture Irrigation,Domestic,Livestock,Mining,Unspecified",2,5
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,In-stream Flow,Other,Recreation,Reservoir Storage,Unspecified",2,9
"Domestic,Livestock,Mining,Other,Public Supply",2,5
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Livestock,Other,Recreation,Unspecified",2,9
"Agriculture Irrigation,Domestic,Fire,Public Supply,Recreation,Snow",2,6
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Livestock,Other,Public Supply,Recreation",2,9
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Other,Public Supply,Reservoir Storage",2,6
"Commercial/Industrial,Domestic,Public Supply,Recreation,Reservoir Storage,Unspecified",2,6
"Aquaculture,Commercial/Industrial,Domestic,Fire,Recreation",2,5
"Domestic,Fire,Other,Recreation",2,4
"Agriculture Irrigation,In-stream Flow,Reservoir Storage,Unspecified",2,4
"Aquaculture,Public Supply,Recreation,Unspecified",2,4
"Agriculture Irrigation,Commercial/Industrial,Livestock,Recreation",2,4
"Agriculture Irrigation,Domestic,Fire,Public Supply,Unspecified",2,5
"Agriculture Irrigation,Fire,Livestock,Snow",2,4
"Agriculture Irrigation,Aquifer Recharge,Livestock,Unspecified",2,4
"Agriculture Irrigation,Domestic,Livestock,Mining,Other,Public Supply,Unspecified",2,7
"Agriculture Irrigation,Domestic,Mining,Other,Public Supply",2,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Public Supply,Recreation",2,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Other,Public Supply,Recreation,Reservoir Storage",2,7
"Aquaculture,Commercial/Industrial,Domestic,Public Supply",2,4
"Agriculture Irrigation,Aquaculture,Reservoir Storage",2,3
"Domestic,Fire,Livestock,Other,Public Supply,Reservoir Storage",2,6
"Agriculture Irrigation,Aquaculture,Domestic,Hydroelectric,In-stream Flow,Livestock,Other,Public Supply,Recreation,Unspecified",2,10
"Livestock,Recreation,Reservoir Storage,Unspecified",2,4
"Commercial/Industrial,Hydroelectric,Other,Reservoir Storage,Unspecified",2,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Livestock,Other",2,6
"Aquaculture,Domestic,Fire,Livestock,Other,Reservoir Storage",2,6
"In-stream Flow,Other,Recreation",2,3
"Domestic,Livestock,Recreation,Reservoir Storage,Unspecified",2,5
"Aquaculture,Fire,Public Supply,Recreation,Unspecified",2,5
"Aquaculture,Aquifer Recharge,Fire,Other,Unspecified",2,5
"Commercial/Industrial,In-stream Flow,Public Supply",2,3
"Fire,Public Supply,Unspecified",2,3
"Aquaculture,Commercial/Industrial,Domestic,Fire,Unspecified",2,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Recreation,Snow",2,6
"Aquaculture,Aquifer Recharge,Fire,Other,Recreation,Reservoir Storage",2,6
"Aquaculture,Aquifer Recharge,Livestock,Other",2,4
"Agriculture Irrigation,Domestic,Fire,Other,Reservoir Storage",2,5
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Municipal Irrigation",2,5
"Commercial/Industrial,Domestic,Public Supply,Reservoir Storage,Unspecified",2,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation,Reservoir Storage,Unspecified",2,8
"Agriculture Irrigation,Fire,Public Supply,Unspecified",2,4
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",2,9
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Unspecified",2,10
"Agriculture Irrigation,Aquaculture,Fire,Public Supply,Recreation",2,5
"Commercial/Industrial,Domestic,Fire,Livestock,Recreation",2,5
"Aquaculture,Aquifer Recharge,Other,Recreation",2,4
"Aquaculture,Other,Reservoir Storage,Unspecified",2,4
"Aquaculture,Livestock,Other,Recreation,Reservoir Storage,Unspecified",2,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Livestock,Unspecified",2,6
"Aquaculture,Domestic,Fire,Other,Unspecified",2,5
"Aquaculture,Commercial/Industrial,Fire,Other,Recreation,Unspecified",2,6
"Agriculture Irrigation,Aquaculture,Fire,Hydroelectric,Livestock,Other",2,6
"Aquaculture,Domestic,Hydroelectric",2,3
"Commercial/Industrial,Domestic,Hydroelectric,Livestock",2,4
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Fire,Other,Recreation,Unspecified",2,7
"Agriculture Irrigation,Fire,Livestock,Recreation,Unspecified",2,5
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation",2,8
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Reservoir Storage",2,7
"Domestic,Livestock,Reservoir Storage",2,3
"Aquaculture,Hydroelectric,Other,Recreation",2,4
"Agriculture Irrigation,Aquaculture,Domestic,Hydroelectric,Livestock,Unspecified",2,6
"Reservoir Storage,Thermoelectric Cooling,Unspecified",2,3
"Aquaculture,Municipal Irrigation,Other,Recreation,Reservoir Storage,Unspecified",2,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Recreation,Snow",2,5
"Agriculture Irrigation,Domestic,Livestock,Municipal Irrigation,Unspecified",2,5
"Aquaculture,Fire,Livestock,Unspecified",2,4
"Aquaculture,Municipal Irrigation,Unspecified",2,3
"Hydroelectric,Public Supply,Reservoir Storage",2,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Reservoir Storage,Unspecified",2,8
"Agriculture Irrigation,Municipal Irrigation,Recreation,Unspecified",2,4
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Fire,Livestock,Other,Public Supply",2,7
"Agriculture Irrigation,Public Supply,Recreation,Unspecified",2,4
"Commercial/Industrial,Domestic,In-stream Flow",1,3
"Aquaculture,Fire,In-stream Flow,Livestock,Recreation",1,5
"Commercial/Industrial,Municipal Irrigation,Thermoelectric Cooling",1,3
"Agriculture Irrigation,Mining,Public Supply",1,3
"Aquifer Recharge,Municipal Irrigation",1,2
"Agriculture Irrigation,Commercial/Industrial,Domestic,In-stream Flow,Livestock",1,5
"Agriculture Irrigation,Domestic,Hydroelectric,Livestock,Municipal Irrigation",1,5
"In-stream Flow,Livestock,Municipal Irrigation,Recreation",1,4
"Hydroelectric,Municipal Irrigation",1,2
"Agriculture Irrigation,Commercial/Industrial,Hydroelectric",1,3
"Domestic,Fire,In-stream Flow",1,3
"Domestic,Hydroelectric,Municipal Irrigation",1,3
"Agriculture Irrigation,Commercial/Industrial,Fire,In-stream Flow,Municipal Irrigation",1,5
"Aquaculture,Domestic,Municipal Irrigation,Recreation",1,4
"Commercial/Industrial,Domestic,In-stream Flow,Other,Recreation",1,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Other",1,4
"Agriculture Irrigation,Domestic,Fire,Livestock,Mining,Other,Unspecified",1,7
"Fire,In-stream Flow,Livestock,Mining,Recreation",1,5
"Agriculture Irrigation,Aquaculture,Domestic,Municipal Irrigation",1,4
"Aquifer Recharge,Mining",1,2
"Mining,Municipal Irrigation,Other,Recreation",1,4
"Agriculture Irrigation,Domestic,Livestock,Mining,Other,Unspecified",1,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Treated Wastewater/Reuse",1,4
"Aquaculture,Fire,In-stream Flow,Livestock,Other,Recreation",1,6
"Agriculture Irrigation,Fire,Mining",1,3
"Agriculture Irrigation,Domestic,Fire,Municipal Irrigation",1,4
"Agriculture Irrigation,Livestock,Mining,Other,Public Supply",1,5
"Agriculture Irrigation,Domestic,Fire,In-stream Flow,Livestock,Other",1,6
"Agriculture Irrigation,Domestic,Fire,In-stream Flow,Livestock,Recreation",1,6
"Domestic,Fire,Reservoir Storage",1,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Thermoelectric Cooling",1,6
"Agriculture Irrigation,Fire,In-stream Flow,Municipal Irrigation",1,4
"Commercial/Industrial,Fire,Mining,Other",1,4
"Aquaculture,Commercial/Industrial,Domestic,Thermoelectric Cooling",1,4
"Agriculture Irrigation,Fire,Reservoir Storage",1,3
"Aquaculture,Fire,Municipal Irrigation",1,3
"Domestic,Public Supply,Reservoir Storage",1,3
"Agriculture Irrigation,Commercial/Industrial,Fire,Mining,Other",1,5
"Agriculture Irrigation,Aquaculture,Livestock,Recreation,Reservoir Storage",1,5
"Aquaculture,Fire,Reservoir Storage",1,3
"Commercial/Industrial,Livestock,Municipal Irrigation,Recreation",1,4
"Agriculture Irrigation,Domestic,Fire,Other,Thermoelectric Cooling",1,5
"Agriculture Irrigation,In-stream Flow,Livestock,Municipal Irrigation,Other,Recreation",1,6
"Fire,Livestock,Other,Recreation,Reservoir Storage",1,5
"Agriculture Irrigation,Aquaculture,Other,Thermoelectric Cooling",1,4
"Livestock,Other,Thermoelectric Cooling",1,3
"Agriculture Irrigation,Livestock,Other,Recreation,Thermoelectric Cooling",1,5
"Agriculture Irrigation,Commercial/Industrial,Livestock,Other,Thermoelectric Cooling",1,5
"Agriculture Irrigation,Domestic,Other,Recreation,Thermoelectric Cooling",1,5
"Commercial/Industrial,In-stream Flow,Municipal Irrigation",1,3
"Agriculture Irrigation,Aquifer Recharge,Municipal Irrigation",1,3
"Aquaculture,Domestic,Fire,Unspecified",1,4
"Domestic,Livestock,Municipal Irrigation,Other,Recreation",1,5
"Agriculture Irrigation,Aquaculture,In-stream Flow,Livestock,Other,Recreation",1,6
"Municipal Irrigation,Recreation,Reservoir Storage",1,3
"Aquaculture,Municipal Irrigation,Other",1,3
"Agriculture Irrigation,Domestic,Fire,In-stream Flow,Recreation",1,5
"Agriculture Irrigation,In-stream Flow,Reservoir Storage",1,3
"Commercial/Industrial,Domestic,Livestock,Thermoelectric Cooling",1,4
"Agriculture Irrigation,Domestic,In-stream Flow,Public Supply",1,4
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Mining",1,5
"Commercial/Industrial,Fire,Other,Thermoelectric Cooling",1,4
"Aquaculture,Commercial/Industrial,Fire,Livestock,Other,Unspecified",1,6
"Domestic,Livestock,Other,Thermoelectric Cooling",1,4
"Agriculture Irrigation,Domestic,Livestock,Recreation,Thermoelectric Cooling",1,5
"Domestic,In-stream Flow,Thermoelectric Cooling",1,3
"Domestic,Other,Public Supply,Unspecified",1,4
"Agriculture Irrigation,Domestic,Other,Public Supply,Thermoelectric Cooling",1,5
"Agriculture Irrigation,Mining,Other,Unspecified",1,4
"Aquaculture,Domestic,Livestock,Recreation,Unspecified",1,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Recreation,Reservoir Storage",1,5
"Aquaculture,In-stream Flow,Livestock,Other,Unspecified",1,5
"Agriculture Irrigation,Domestic,Livestock,Other,Recreation,Thermoelectric Cooling",1,6
"Mining,Public Supply,Unspecified",1,3
"Fire,In-stream Flow,Unspecified",1,3
"Domestic,Livestock,Municipal Irrigation,Recreation,Unspecified",1,5
"Commercial/Industrial,Fire,In-stream Flow,Other",1,4
"Domestic,Fire,Livestock,Recreation,Reservoir Storage,Unspecified",1,6
"Fire,In-stream Flow,Other,Reservoir Storage,Unspecified",1,5
