WaDEBenUse,UniqueCount,len_WBU
"Aquifer Recharge,In-stream Flow",62,2
"Agriculture Irrigation,Commercial/Industrial,Domestic,Hydroelectric,Other,Unspecified",62,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation,Unspecified",62,7
"Agriculture Irrigation,Commercial/Industrial,Other",61,3
"Agriculture Irrigation,Other,Recreation",61,3
"Commercial/Industrial,Domestic,Livestock,Municipal Irrigation",61,4
"Agriculture Irrigation,Domestic,Other,Public Supply",60,4
"Agriculture Irrigation,Thermoelectric Cooling,Unspecified",60,3
"Domestic,Livestock,Public Supply",60,3
"Thermoelectric Cooling,Unspecified",59,2
"Agriculture Irrigation,Domestic,Fire,Livestock,Other",59,5
"Domestic,Other,Public Supply",58,3
"Agriculture Irrigation,Aquaculture,Fire,Other,Recreation,Unspecified",58,6
"Agriculture Irrigation,Aquaculture,Other,Recreation,Unspecified",58,5
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply",57,6
"Aquaculture,Fire,Other,Recreation,Unspecified",57,5
"In-stream Flow,Municipal Irrigation",57,2
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation",56,8
"Agriculture Irrigation,Commercial/Industrial,Public Supply,Recreation",56,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Public Supply,Recreation",56,7
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Fire,Livestock,Other,Public Supply,Unspecified",54,8
"Fire,Livestock,Recreation",54,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Hydroelectric,Public Supply",53,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic",53,4
"Commercial/Industrial,Domestic,Other",53,3
"Agriculture Irrigation,Domestic,Livestock,Public Supply,Unspecified",52,5
"Domestic,Livestock,Mining",51,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,In-stream Flow,Other,Public Supply,Recreation",51,9
"Agriculture Irrigation,Domestic,In-stream Flow",50,3
"Commercial/Industrial,Domestic,Recreation",50,3
"Commercial/Industrial,Recreation",50,2
"Municipal Irrigation,Unspecified",49,2
"Agriculture Irrigation,Commercial/Industrial,Other,Public Supply,Reservoir Storage,Unspecified",48,6
