AllocationUUID,AllocationOwner,OwnerClassificationCV,State_x,LinkFieldA,ContractorName,State_y,LinkFieldB,success,SourceNum,WebLink
AZwr_WR592381,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR592382,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594886,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594887,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594888,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594889,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594890,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594891,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR594892,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR598781,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR598782,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR599236,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR604493,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR612952,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR612953,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR612975,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR612986,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR612987,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR612995,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR612997,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR612998,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR613001,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR613004,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR614051,Maricopa Water District,Private,AZ,maricopa water districtaz,Maricopa Water District,AZ,maricopa water districtaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR902947,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR912870,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR912902,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR912934,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR916020,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR919727,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR919728,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
AZwr_WR919729,Central Arizona Project,Private,AZ,central arizona projectaz,Central Arizona Project,AZ,central arizona projectaz,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA000654,El Dorado Irrigation District,WaDE Blank,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA,el dorado irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA001122,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA001440,El Dorado Irrigation District,WaDE Blank,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA,el dorado irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA001441,El Dorado Irrigation District,WaDE Blank,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA,el dorado irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA001692,El Dorado Irrigation District,WaDE Blank,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA,el dorado irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA002270,El Dorado Irrigation District,WaDE Blank,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA,el dorado irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA002922,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA002937,San Benito County Water District,WaDE Blank,CA,san benito county water districtca,San Benito County Water District,CA,san benito county water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA005210,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,Solano County Water Agency,CA,solano county water agencyca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA005645A,El Dorado Irrigation District,WaDE Blank,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA,el dorado irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA005645B,El Dorado Irrigation District,WaDE Blank,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA,el dorado irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA006383,El Dorado Irrigation District,WaDE Blank,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA,el dorado irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA007478,El Dorado Irrigation District,WaDE Blank,CA,el dorado irrigation districtca,El Dorado Irrigation District,CA,el dorado irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA007482,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,Imperial Irrigation District,CA,imperial irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA007483,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA007739,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,Imperial Irrigation District,CA,imperial irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA007740,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,Imperial Irrigation District,CA,imperial irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA007741,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,Imperial Irrigation District,CA,imperial irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA007742,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,Imperial Irrigation District,CA,imperial irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA007743,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,Imperial Irrigation District,CA,imperial irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA008534,Imperial Irrigation District,WaDE Blank,CA,imperial irrigation districtca,Imperial Irrigation District,CA,imperial irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA008642,San Benito County Water District,WaDE Blank,CA,san benito county water districtca,San Benito County Water District,CA,san benito county water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA009280,Palo Verde Irrigation District,WaDE Blank,CA,palo verde irrigation districtca,Palo Verde Irrigation District,CA,palo verde irrigation districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA011199,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,Solano County Water Agency,CA,solano county water agencyca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA011311,Casitas Municipal Water District,WaDE Blank,CA,casitas municipal water districtca,Casitas Municipal Water District,CA,casitas municipal water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA012566,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,Solano County Water Agency,CA,solano county water agencyca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA012578,Solano County Water Agency,WaDE Blank,CA,solano county water agencyca,Solano County Water Agency,CA,solano county water agencyca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA015998,Casitas Municipal Water District,WaDE Blank,CA,casitas municipal water districtca,Casitas Municipal Water District,CA,casitas municipal water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA017782,San Benito County Water District,WaDE Blank,CA,san benito county water districtca,San Benito County Water District,CA,san benito county water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRA030243,San Diego County Water Authority,WaDE Blank,CA,san diego county water authorityca,San Diego County Water Authority,CA,san diego county water authorityca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG330407,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG330558,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG331688,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332044,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332124,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332265,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332282,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332283,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332298,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332425,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332431,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332432,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332440,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332457,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332464,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332519,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
CAwr_WRG332521,Coachella Valley Water District,WaDE Blank,CA,coachella valley water districtca,Coachella Valley Water District,CA,coachella valley water districtca,1,1 - Web Scraping,https://www.usbr.gov/projects/
